id_prestamo;fecha;id_libro;generos;formato;perfil_socio;sala;dias_prestamo;renovaciones;dias_retraso;comentario
4181;13/04/2026;L0044;"novela negra;historica";Fisico;Adulto;Barrio Norte;30.0;0;15.0;
319;24/01/2026;L0005;poesia;Fisico;Infantil;Barrio Norte;30.0;0;0.0;paginas subrayadas a lapiz
1316;15/02/2026;L0033;"ciencia ficcion;fantasia;romantica";Fisico;Adulto;Barrio Sur;14.0;0;0.0;
1157;11/02/2026;L0151;"historica;novela negra";Ebook;Infantil;Central;7.0;0;0.0;
34;16/01/2026;L0004;"poesia;ensayo";Fisico;Senior;Barrio Sur;14.0;2;0.0;Paginas subrayadas a lapiz
8332;20/06/2026;L0020;"fantasia;novela negra";Fisico;Adulto;Barrio Norte;30.0;1;0.0;
9247;04/07/2026;L0011;fantasia;Fisico;Infantil;Barrio Norte;7.0;0;0.0;
7316;04/06/2026;L0011;fantasia;Fisico;Adulto;Central;30.0;0;0.0;
4709;23/04/2026;L0057;romantica;Fisico;Senior;Barrio Sur;30.0;1;0.0;
1419;17/02/2026;L0111;"historica;poesia";Fisico;Adulto;Barrio Sur;14.0;0;0.0;
1579;21/02/2026;L0119;"novela negra;romantica";Fisico;Adulto;Central;7.0;0;7.0;
7604;08/06/2026;L0006;"biografia;historica;poesia";Fisico;Adulto;Barrio Sur;14.0;1;2.0;
3353;29/03/2026;L0002;FANTASIA;Ebook;Adulto;Barrio Sur;30.0;0;0.0;
252;22/01/2026;L0139;"poesia;biografia";Fisico;Senior;Barrio Sur;14.0;1;5.0;
6044;15/05/2026;L0100;fantasia;Ebook;Adulto;Barrio Norte;14.0;2;0.0;
4000;10/04/2026;L0010;"ensayo;novela negra";Fisico;Infantil;Barrio Sur;30.0;0;0.0;
5218;01/05/2026;L0011;fantasia;Fisico;Senior;Barrio Norte;14.0;1;0.0;
7347;05/06/2026;L0001;"historica;biografia";Audiolibro;;Barrio Sur;14.0;0;0.0;
389;25/01/2026;L0200;"  ciencia ficcion;fantasia;terror ";Fisico;Infantil;Barrio Norte;7.0;2;0.0;
6334;20/05/2026;L0008;"romantica;juvenil;ensayo";Audiolibro;Infantil;Barrio Norte;30.0;0;;
3525;01/04/2026;L0044;"novela negra;historica";Audiolibro;Adulto;Barrio Sur;30.0;2;0.0;
